0, 0, 0, 37
0, 1, 0, 24
0, 2, 0, 23
0, 3, 0, 16
0, 4, 0, 38
0, 5, 0, 21
0, 36, 0, 9
0, 36, 0, 27
0, 11, 0, 14
0, 32, 0, 15
0, 32, 0, 31
0, 17, 0, 20
0, 17, 0, 22
0, 25, 0, 26
0, 34, 0, 29
0, 34, 0, 39
0, 30, 0, 35
1, 14, 1, 0
1, 14, 1, 2
1, 14, 1, 3
1, 14, 1, 4
1, 14, 1, 5
1, 14, 1, 6
1, 14, 1, 9
1, 14, 1, 12
1, 14, 1, 13
1, 14, 1, 17
1, 14, 1, 19
1, 14, 1, 20
1, 14, 1, 22
1, 14, 1, 23
1, 14, 1, 24
1, 14, 1, 25
1, 14, 1, 26
1, 14, 1, 27
1, 14, 1, 28
1, 14, 1, 30
1, 14, 1, 31
1, 14, 1, 32
1, 14, 1, 33
1, 14, 1, 34
1, 14, 1, 35
1, 14, 1, 38
1, 1, 1, 21
1, 1, 2, 23
1, 39, 1, 7
1, 39, 1, 16
1, 39, 1, 36
2, 10, 1, 8
2, 10, 2, 3
2, 10, 2, 29
2, 10, 2, 34
2, 10, 2, 35
2, 10, 3, 5
2, 10, 3, 12
2, 10, 3, 24
2, 10, 3, 27
2, 10, 4, 35
6, 25, 1, 10
6, 25, 3, 0
6, 25, 4, 9
6, 25, 5, 3
6, 25, 5, 5
6, 25, 5, 19
6, 25, 5, 36
6, 25, 6, 7
6, 25, 6, 13
6, 25, 7, 18
6, 25, 7, 24
6, 25, 7, 31
6, 25, 7, 34
1, 29, 1, 11
1, 29, 4, 13
1, 29, 4, 33
1, 29, 6, 8
1, 29, 6, 23
1, 29, 6, 32
1, 29, 6, 38
1, 29, 8, 28
1, 29, 9, 16
1, 29, 9, 39
2, 17, 1, 15
2, 17, 3, 19
1, 18, 1, 37
1, 18, 2, 2
2, 12, 2, 0
2, 12, 2, 1
2, 12, 2, 5
2, 12, 2, 9
2, 12, 2, 11
2, 12, 2, 13
2, 12, 2, 15
2, 12, 2, 20
2, 12, 2, 21
2, 12, 2, 22
2, 12, 2, 30
2, 12, 2, 31
2, 12, 2, 32
2, 12, 2, 36
2, 12, 2, 38
2, 12, 2, 39
2, 25, 2, 4
2, 25, 2, 8
2, 25, 2, 18
2, 25, 3, 10
2, 25, 3, 11
2, 25, 3, 14
2, 25, 3, 20
2, 25, 3, 25
2, 25, 4, 19
2, 25, 5, 27
3, 7, 2, 6
3, 7, 2, 37
3, 7, 3, 4
3, 7, 3, 15
3, 7, 3, 28
3, 7, 3, 29
3, 7, 4, 25
3, 7, 4, 26
3, 7, 5, 2
3, 7, 5, 31
3, 7, 6, 9
3, 7, 6, 17
3, 7, 7, 5
2, 14, 2, 7
2, 14, 2, 16
2, 14, 2, 24
2, 14, 2, 26
2, 14, 2, 27
2, 14, 2, 28
2, 14, 3, 2
2, 14, 3, 8
2, 14, 3, 9
2, 14, 3, 16
2, 14, 3, 22
2, 14, 3, 30
2, 14, 3, 34
2, 14, 3, 35
2, 14, 3, 37
2, 14, 3, 38
2, 14, 3, 39
2, 14, 4, 1
2, 14, 4, 7
2, 14, 4, 10
2, 14, 4, 21
2, 14, 4, 24
2, 14, 4, 39
2, 14, 5, 33
2, 14, 6, 3
2, 14, 7, 30
5, 29, 2, 19
5, 29, 2, 33
5, 29, 3, 18
5, 29, 3, 23
5, 29, 3, 33
5, 29, 4, 0
5, 29, 4, 2
5, 29, 4, 3
5, 29, 4, 15
5, 29, 4, 29
5, 29, 4, 38
5, 29, 5, 4
5, 29, 5, 12
5, 29, 5, 39
5, 29, 6, 24
5, 29, 7, 16
3, 21, 3, 1
3, 21, 3, 6
3, 21, 3, 26
3, 21, 3, 32
3, 21, 4, 4
3, 21, 4, 12
3, 21, 4, 14
3, 21, 4, 16
3, 21, 4, 17
3, 21, 4, 20
3, 21, 4, 23
3, 21, 4, 27
3, 21, 4, 34
3, 21, 4, 36
3, 21, 5, 9
3, 21, 5, 25
7, 38, 3, 3
7, 38, 4, 6
7, 38, 4, 28
7, 38, 4, 32
7, 38, 5, 0
7, 38, 5, 1
7, 38, 5, 8
7, 38, 5, 16
7, 38, 5, 18
7, 38, 5, 23
7, 38, 6, 0
7, 38, 6, 21
7, 38, 6, 28
7, 38, 7, 6
7, 38, 7, 25
7, 38, 8, 37
7, 38, 10, 6
7, 38, 11, 9
12, 32, 3, 13
12, 32, 16, 25
12, 32, 17, 2
12, 32, 17, 10
12, 32, 19, 23
12, 32, 20, 27
12, 32, 21, 25
5, 14, 3, 17
5, 14, 3, 31
5, 14, 5, 10
5, 14, 5, 20
5, 14, 5, 26
5, 14, 5, 37
5, 14, 7, 37
5, 14, 11, 13
4, 8, 3, 36
4, 8, 5, 6
4, 8, 8, 19
4, 5, 5, 22
4, 5, 5, 30
4, 5, 6, 12
4, 5, 7, 29
4, 5, 9, 9
4, 5, 9, 17
4, 5, 11, 36
4, 5, 13, 39
4, 11, 4, 18
4, 11, 5, 11
4, 11, 6, 37
4, 11, 9, 34
4, 11, 10, 27
4, 22, 5, 28
28, 10, 4, 30
28, 10, 28, 31
28, 10, 29, 6
28, 10, 29, 21
28, 10, 29, 29
28, 10, 30, 4
28, 10, 30, 37
28, 10, 31, 28
28, 10, 32, 10
28, 10, 32, 27
28, 10, 33, 25
28, 10, 33, 36
28, 10, 35, 25
28, 10, 37, 33
6, 27, 4, 31
6, 27, 9, 6
6, 27, 11, 2
6, 27, 16, 8
6, 27, 17, 13
6, 27, 18, 1
4, 37, 5, 21
4, 37, 5, 24
4, 37, 5, 34
4, 37, 6, 4
5, 7, 5, 38
5, 7, 6, 11
5, 7, 6, 36
5, 7, 7, 7
5, 7, 8, 3
6, 2, 5, 13
6, 2, 6, 5
6, 2, 6, 15
6, 2, 7, 17
9, 28, 5, 15
9, 28, 7, 32
9, 28, 8, 24
9, 28, 11, 14
9, 28, 11, 17
9, 28, 16, 4
9, 28, 16, 22
9, 28, 16, 37
9, 28, 18, 15
6, 29, 5, 17
6, 29, 6, 39
6, 29, 8, 20
6, 29, 8, 29
6, 29, 8, 34
6, 29, 9, 5
6, 29, 9, 19
5, 35, 7, 33
6, 1, 6, 33
6, 1, 8, 38
6, 6, 7, 12
6, 10, 6, 16
7, 8, 6, 14
7, 8, 8, 8
7, 8, 9, 35
7, 8, 10, 15
7, 11, 6, 18
7, 11, 7, 9
6, 19, 6, 22
6, 19, 6, 34
6, 19, 7, 10
6, 19, 7, 19
6, 19, 7, 23
6, 19, 11, 39
6, 19, 13, 13
6, 19, 14, 10
6, 20, 10, 3
6, 20, 12, 21
7, 3, 6, 30
7, 3, 6, 35
7, 3, 7, 4
6, 31, 7, 26
6, 31, 8, 4
6, 31, 8, 35
6, 31, 9, 25
6, 31, 10, 39
6, 31, 11, 31
6, 31, 13, 28
7, 0, 7, 35
7, 0, 8, 2
7, 0, 8, 5
7, 0, 9, 37
7, 0, 10, 26
7, 0, 12, 23
7, 0, 12, 35
7, 0, 16, 28
9, 22, 7, 1
9, 22, 10, 13
9, 22, 14, 8
9, 22, 14, 9
10, 21, 7, 2
10, 21, 8, 1
7, 36, 7, 13
7, 36, 8, 17
7, 36, 8, 23
7, 36, 8, 25
7, 36, 9, 10
7, 36, 9, 21
7, 36, 9, 24
7, 36, 9, 30
7, 36, 10, 2
7, 36, 10, 20
7, 36, 11, 20
