0, 17, 34
0, 27, 36
1, 14, 0
1, 14, 2
1, 14, 3
1, 14, 4
1, 14, 5
1, 14, 6
1, 14, 7
1, 14, 8
1, 14, 9
1, 14, 10
1, 14, 11
1, 14, 12
1, 14, 13
1, 14, 16
1, 14, 17
1, 14, 19
1, 14, 20
1, 14, 22
1, 14, 23
1, 14, 24
1, 14, 25
1, 14, 26
1, 14, 27
1, 14, 28
1, 14, 29
1, 14, 30
1, 14, 31
1, 14, 32
1, 14, 33
1, 14, 34
1, 14, 35
1, 14, 36
1, 14, 38
1, 14, 39
1, 1, 21
1, 18, 37
2, 39, 0
2, 39, 1
2, 39, 3
2, 39, 4
2, 39, 5
2, 39, 6
2, 39, 7
2, 39, 8
2, 39, 9
2, 39, 10
2, 39, 11
2, 39, 12
2, 39, 13
2, 39, 14
2, 39, 15
2, 39, 16
2, 39, 18
2, 39, 19
2, 39, 20
2, 39, 21
2, 39, 22
2, 39, 24
2, 39, 25
2, 39, 26
2, 39, 27
2, 39, 28
2, 39, 29
2, 39, 30
2, 39, 31
2, 39, 32
2, 39, 33
2, 39, 34
2, 39, 35
2, 39, 36
2, 39, 37
2, 39, 38
2, 2, 17
3, 39, 0
3, 39, 2
3, 39, 3
3, 39, 4
3, 39, 5
3, 39, 6
3, 39, 9
3, 39, 10
3, 39, 14
3, 39, 16
3, 39, 17
3, 39, 20
3, 39, 21
3, 39, 22
3, 39, 25
3, 39, 26
3, 39, 31
3, 39, 32
3, 39, 33
3, 39, 34
3, 39, 35
3, 8, 1
3, 8, 7
3, 8, 11
3, 8, 13
3, 8, 15
3, 8, 18
3, 8, 23
3, 8, 28
3, 8, 29
3, 8, 30
3, 8, 37
3, 8, 38
3, 12, 24
3, 12, 27
3, 12, 36
4, 39, 0
4, 39, 1
4, 39, 3
4, 39, 5
4, 39, 7
4, 39, 10
4, 39, 11
4, 39, 15
4, 39, 23
4, 39, 24
4, 39, 26
4, 39, 28
4, 39, 29
4, 2, 6
4, 2, 9
4, 2, 13
4, 2, 21
4, 2, 22
4, 2, 30
4, 2, 33
4, 2, 35
4, 2, 38
4, 27, 4
4, 27, 12
4, 27, 14
4, 27, 16
4, 27, 17
4, 27, 19
4, 27, 20
4, 27, 25
4, 27, 34
4, 27, 36
5, 23, 0
5, 23, 3
5, 23, 6
5, 23, 7
5, 23, 8
5, 23, 14
5, 23, 15
5, 23, 18
5, 23, 19
5, 23, 28
5, 23, 37
5, 1, 4
5, 1, 16
5, 1, 26
5, 5, 2
5, 5, 31
5, 12, 9
5, 12, 11
5, 12, 13
5, 12, 17
5, 12, 25
5, 12, 27
5, 12, 29
5, 12, 39
5, 36, 10
5, 36, 22
6, 22, 0
6, 22, 1
6, 22, 3
6, 22, 12
6, 22, 17
6, 22, 28
6, 22, 38
6, 5, 2
6, 5, 21
6, 5, 24
6, 5, 29
6, 19, 7
6, 19, 8
6, 19, 13
6, 19, 23
6, 19, 25
6, 19, 34
6, 19, 39
6, 18, 15
6, 18, 30
7, 25, 0
7, 25, 20
7, 25, 38
7, 25, 39
7, 17, 1
7, 17, 10
7, 17, 18
7, 17, 30
7, 17, 31
7, 17, 32
7, 17, 36
7, 3, 4
7, 5, 21
7, 7, 6
7, 7, 23
7, 14, 9
7, 14, 11
7, 14, 16
8, 7, 0
8, 7, 14
8, 7, 15
8, 7, 19
8, 7, 20
8, 7, 23
8, 7, 29
8, 2, 3
8, 21, 5
8, 21, 10
8, 21, 17
8, 21, 18
8, 21, 22
8, 21, 24
8, 21, 27
8, 21, 28
8, 21, 32
8, 21, 34
8, 21, 38
8, 12, 13
8, 12, 37
8, 12, 39
9, 36, 0
9, 36, 2
9, 36, 4
9, 36, 5
9, 36, 7
9, 36, 27
9, 36, 28
9, 36, 29
9, 11, 6
9, 11, 8
9, 11, 13
9, 11, 16
9, 11, 18
9, 11, 19
9, 11, 22
9, 11, 24
9, 11, 26
9, 11, 31
9, 11, 32
9, 11, 33
9, 9, 21
9, 20, 10
9, 20, 39
9, 12, 34
9, 30, 37
10, 2, 17
10, 12, 4
10, 12, 6
10, 12, 9
10, 12, 10
10, 12, 18
10, 12, 20
10, 12, 23
10, 12, 24
10, 12, 29
10, 12, 31
10, 12, 33
10, 11, 5
10, 11, 19
10, 11, 22
10, 11, 25
10, 11, 26
10, 11, 27
10, 11, 28
10, 11, 30
10, 11, 32
10, 11, 34
