" How to make a butterfly out of plastic spoons. Gather the materials you will need for this project, listed below.. Put a craft cloth or some newspaper down on your working surface.. Cut the top portion of the four spoons off (leaving about half an inch of the handle left. ) the top portion is the flat spoon part.. Using the cut-off handle of one of the spoons, make that the "" body "" of the butterfly."	34409
 How to find state income tax forms online. Find out whether your state requires that you pay a personal income tax. You can get a complete listing from the irs. States in the united states of america that don't charge a any personal state income tax include the following ones : Alaska; south dakota; nevada; florida; texas; washington; and wyoming. Determine if your state taxes income other than wages and salaries. Currently, two states tax interest and dividends, but not wages and salaries.	1759
 How to defend yourself against assault claims as a parolee. Call your lawyer. You should get a lawyer's advice about what you should do as soon as possible. Call the lawyer who defended you in the original crime that got you placed on parole.Explain that you have been charged or accused of assault. Your lawyer should help you determine next steps.	31364
 How to plan an adventurous vacation in kuala lumpur. Understand your threshold for adventure. Wild adventure is not for the weak hearted. You need quite a bit of gumption to withstand staggering heights, free falls into nothingness, and beating the mighty waves.However, kuala lumpur offers an array of activities that cater to varying thresholds. You don't have to be an adrenaline junkie to indulge in the malaysian adventure, for there are plenty of mild yet wild activities to choose from.	23129
 How to choose superfoods good for your heart. Eat dark, leafy greens. Kale is a green that can be used in a variety of ways and paired with almost any food. Dark, leafy greens like swiss chard or collard, mustard, and turnip greens are superfoods that are good for your heart.They are full of antioxidants and have anti-inflammatory properties, which helps promote heart health. Use kale and other dark leafy greens to make salads or side dishes.	37036
 How to work with a registered dietitian for ibd. Talk to a medical professional. Before looking for a dietitian, you should work with a physician to come to a medical diagnosis of your condition. Without a proper diagnosis, your dietitian won't know how to best work with you. Consult with a gastroenterologist or another digestive health specialist. Have your ibd formally diagnosed, if it has not been already.	42822
" How to advertise locally for free on the internet. Get a listing on google places. This is fast, free, and google place listings almost always come up first in google search results. Go to places. Google.com/business.If you don't already have a google account, set one up by clicking the "" create account now "" button. Follow the prompts to create an account."	45901
Men are in a room in the middle of a formation f man holding poles and throwing at them. Two men are fighting with swords in an open area. men and womenare fighting in a open area inside a building.	15804
 How to clean your kitty litter box. Scoop it once a day. Your kitty likes a clean litter box, and while you probably don't want to change the litter completely every day, scooping it daily will help keep your cat happy. You should definitely scoop out out any feces, as well as any pee clumps if you're using a clumping litter. To scoop it, use a litter shovel to remove the clumps. These scoops are slotted, the clean litter falls below, while the scoop keeps any clumps.	26367
" How to make a fruit trifle. Bring 2 2/3 cups (675ml) of milk to a boil in a saucepan.. Mix sugar and vanilla custard powder in the remaining 1/3 (75ml) cup of milk to make a smooth paste.. Pour the custard paste in boiling milk and cook for another 2-3 minutes with continuous stirring on medium heat. Lay the loaf cake slices evenly in a 8 "" x 11 "" dish.. Pour half of the custard over the cake slices."	25388
A close up of plaster is shown with several people mixing it around. a manlays down the plaster and begins putting tiles on the floor.	47235
 How to stop attracting selfish people who use you. Identify why you're attractive. There are different factors that could cause selfish people to latch onto you. It could be because of your reputation, especially if you're popular at your school, workplace, etc.Another reason could be that you have desirable traits, such as intelligence or the ability to lead. It could also be because you allow people to step on you, so people see no harm in using you for their own benefit.	15865
 How to select units to play in great big war game. Select the barracks. Infantry units are the soldiers and personnel units in the game. They are made in the barracks.Tap on the barracks to see what units are available. Not all units are available at all times.	25853
A lady stands with a pot and shows an area of a wall. the wallis cleaned with a wet towel using the solution in the pot.	40554
 How to find sand dollars. Shuffle your feet in the shallow water. It's possible that a sand dollar can be buried just below the sand, which will make it difficult to spot right away. Stand where there is just a few inches of water and gently walk back and forth.Keep your feet close to the ground and move them in a shuffling motion. Watch to see if any sand dollars appear underneath the sand.	27207
A man is skateboarding, he jumps up on higher levels. hekicks to build up some speed and does some cool tricks.	21910
Then she shoots the puck with the stick and steps back to give her opponent a chance. a player from the cream teamthen hits the puck with her stick but is not very successful.	5175
 How to get rid of credit cards without hurting your credit score. Calculate your current utilization rate. Take out all credit card statements and identify the credit limits. Add them together to get your total available credit. Then go through and add up all balances. Divide the balance amount by the available credit.	23989
 How to deal with a cursing person. Stay calm. Do not reply with anger just because the customer is being immature and working through their anger in an unhealthy way. For instance, if you're on the phone with a customer, do not hang up on them as soon as they start cursing.If you react angrily, you might escalate the situation and both you and the customer could end up even more aggravated than you already are. Pay attention to your volume and tone of voice.	3519
A close up of lemonade is shown followed by a man standing behind a bar speaking to the camera with various ingredients. the manthen pours several liquids out into a glass, shakes it up, and then pours it into a glass with a lemon on top.	50141
 How to travel. Determine how much money you can spend on a trip. You don't need to be rich to travel, but knowing how much money you have available will likely shape all other aspects of your trip. If things are tight, you may decide to delay your trip until you can save more money.Where you go, how you get there, where you stay may all rely on how much you have to spend. Remember that in addition to any travel expenses, you still have to pay rent and bills at home.	1101
 How to do an email blast. Have a clear purpose for the blast. Email blasting customers or partners is not an arbitrary task. Each blast should have a concise purpose before you begin to draft it.Determine what you're trying to deliver and how you want the recipients to react to the email. The blast's purpose could be enticing customers to purchase something, updating employees on a new project or initiative, or a newsletter to recap the month's events.	36847
A woman wearing a santa hat is talking. sheputs christmas lights onto the tree.	31097
 How to stop hating your ex. Avoid numbing your emotions. Many times when we are hurting we reach to substances or activities that help us numb the discomfort. However, numbing your emotions often causes you to pick up unhealthy habits.It also prevents these emotions from being properly identified and expressed. For example, people may drink alcohol, use drugs, comfort themselves with food, exercise too much, or shop excessively to help numb painful feelings after a breakup.	45404
 How to change the skin in vlc media player. Search the internet for available skins. There are a lot of sites you can download a skin from. There are many users who make customized skins and share it in the internet. Download skins directly from the vlc website. To make sure that what you download is clean and not a virus, you can get the skin straight from the vlc website.	32050
Several pictures of various foods are shown and leads into a person cutting foods on a cutting board. More pictures are shown while the man cuts up vegetables and mixes them into a bowl. hestirs around the ingredients and more pictures of the foods are shown.	22124
 How to treat ovarian cyst pain naturally. Reduce your estrogen intake to restore hormonal balance. Excess estrogen is often responsible for hormonal imbalance, which can cause ovulation disorders and lead to ovarian cysts. Elevated estrogen levels can lead to the development of more ovarian cysts and cause pain in your ovaries.If you are taking any hormonal estrogen supplements, stop taking them to allow your body to return to a hormonal equilibrium. Consult with your doctor before making these changes.	19541
A child is helping to shovel snow. the treesare covered in snow.	39521
